DATE,INTDSRGBM193N
1959-01-01,4.0000000000000000
1959-04-01,4.0000000000000000
1959-07-01,4.0000000000000000
1959-10-01,4.0000000000000000
1960-01-01,5.0000000000000000
1960-04-01,5.3333333333333333
1960-07-01,6.0000000000000000
1960-10-01,5.3333333333333333
1961-01-01,5.0000000000000000
1961-04-01,5.0000000000000000
1961-07-01,7.0000000000000000
1961-10-01,6.1666666666666667
1962-01-01,5.6666666666666667
1962-04-01,4.5000000000000000
1962-07-01,4.5000000000000000
1962-10-01,4.5000000000000000
1963-01-01,4.0000000000000000
1963-04-01,4.0000000000000000
1963-07-01,4.0000000000000000
1963-10-01,4.0000000000000000
1964-01-01,4.6666666666666667
1964-04-01,5.0000000000000000
1964-07-01,5.0000000000000000
1964-10-01,6.3333333333333333
1965-01-01,7.0000000000000000
1965-04-01,6.6666666666666667
1965-07-01,6.0000000000000000
1965-10-01,6.0000000000000000
1966-01-01,6.0000000000000000
1966-04-01,6.0000000000000000
1966-07-01,7.0000000000000000
1966-10-01,7.0000000000000000
1967-01-01,6.3333333333333333
1967-04-01,5.6666666666666667
1967-07-01,5.5000000000000000
1967-10-01,7.3333333333333333
1968-01-01,7.8333333333333333
1968-04-01,7.5000000000000000
1968-07-01,7.3333333333333333
1968-10-01,7.0000000000000000
1969-01-01,7.6666666666666667
1969-04-01,8.0000000000000000
1969-07-01,8.0000000000000000
1969-10-01,8.0000000000000000
1970-01-01,7.8333333333333333
1970-04-01,7.0000000000000000
1970-07-01,7.0000000000000000
1970-10-01,7.0000000000000000
1971-01-01,7.0000000000000000
1971-04-01,6.0000000000000000
1971-07-01,5.6666666666666667
1971-10-01,5.0000000000000000
1972-01-01,5.0000000000000000
1972-04-01,5.3333333333333333
1972-07-01,6.0000000000000000
1972-10-01,8.0000000000000000
1973-01-01,8.6666666666666667
1973-04-01,7.8333333333333333
1973-07-01,11.5000000000000000
1973-10-01,12.4166666666666667
1974-01-01,12.5833333333333333
1974-04-01,11.8333333333333333
1974-07-01,11.6666666666666667
1974-10-01,11.5000000000000000
1975-01-01,10.5000000000000000
1975-04-01,9.9166666666666667
1975-07-01,11.0000000000000000
1975-10-01,11.6666666666666667
1976-01-01,9.6666666666666667
1976-04-01,11.1666666666666667
1976-07-01,12.0000000000000000
1976-10-01,14.6666666666666667
1977-01-01,11.2500000000000000
1977-04-01,8.2500000000000000
1977-07-01,7.0000000000000000
1977-10-01,6.3333333333333333
1978-01-01,6.5000000000000000
1978-04-01,8.8333333333333333
1978-07-01,10.0000000000000000
1978-10-01,11.6666666666666667
1979-01-01,13.1666666666666667
1979-04-01,12.6666666666666667
1979-07-01,14.0000000000000000
1979-10-01,16.0000000000000000
1980-01-01,17.0000000000000000
1980-04-01,17.0000000000000000
1980-07-01,16.0000000000000000
1980-10-01,14.6666666666666667
1981-01-01,13.3333333333333333
1981-04-01,12.0000000000000000
1981-07-01,12.8958333333333333
1981-10-01,14.6875000000000000
1982-01-01,13.5833333333333333
1982-04-01,12.9583333333333333
1982-07-01,10.7916666666666667
1982-10-01,9.8750000000000000
1983-01-01,10.8541666666666667
1983-04-01,9.8958333333333333
1983-07-01,9.5625000000000000
1983-10-01,9.0625000000000000
1984-01-01,8.8958333333333333
1984-04-01,8.8333333333333333
1984-07-01,11.0000000000000000
1984-10-01,9.8333333333333333
1985-01-01,13.5416666666666667
1985-04-01,12.3750000000000000
1985-07-01,11.3750000000000000
1985-10-01,11.3750000000000000
1986-01-01,12.0416666666666667
1986-04-01,10.0416666666666667
1986-07-01,9.8750000000000000
1986-10-01,10.8750000000000000
1987-01-01,10.5416666666666667
1987-04-01,9.0416666666666667
1987-07-01,9.5416666666666667
1987-10-01,8.8750000000000000
1988-01-01,8.5416666666666667
1988-04-01,8.0416666666666667
1988-07-01,11.3750000000000000
1988-10-01,12.5416666666666667
1989-01-01,12.8750000000000000
1989-04-01,13.4583333333333333
1989-07-01,13.7812666666666667
1989-10-01,14.8750000000000000
1990-01-01,14.8750000000000000
1990-04-01,14.8750000000000000
1990-07-01,14.8750000000000000
1990-10-01,13.8750000000000000
1991-01-01,13.0416666666666667
1991-04-01,11.5416666666666667
1991-07-01,10.7083333333333333
1991-10-01,10.3750000000000000
1992-01-01,10.3750000000000000
1992-04-01,10.0416666666666667
1992-07-01,9.5416666666666667
1992-10-01,7.2083333333333333
1993-01-01,5.8750000000000000
1993-04-01,5.8750000000000000
1993-07-01,5.8750000000000000
1993-10-01,5.5416666666666667
1994-01-01,5.2083333333333333
1994-04-01,5.1250000000000000
1994-07-01,5.2916666666666667
1994-10-01,5.7916666666666667
1995-01-01,6.4583333333333333
1995-04-01,6.6250000000000000
1995-07-01,6.6250000000000000
1995-10-01,6.5416666666666667
1996-01-01,6.0625000000000000
1996-04-01,5.8541666666666667
1996-07-01,5.6875000000000000
1996-10-01,5.9375000000000000
1997-01-01,5.9375000000000000
1997-04-01,6.2291666666666667
1997-07-01,6.9166666666666667
1997-10-01,7.1666666666666667
1998-01-01,7.2500000000000000
1998-04-01,7.3333333333333333
1998-07-01,7.5000000000000000
1998-10-01,6.7500000000000000
1999-01-01,5.6666666666666667
1999-04-01,5.1666666666666667
1999-07-01,5.0833333333333333
1999-10-01,5.4166666666666667
2000-01-01,5.9166666666666667
2000-04-01,6.0000000000000000
2000-07-01,6.0000000000000000
2000-10-01,6.0000000000000000
2001-01-01,5.8333333333333333
2001-04-01,5.3333333333333333
2001-07-01,5.0000000000000000
2001-10-01,4.1666666666666667
2002-01-01,4.0000000000000000
2002-04-01,4.0000000000000000
2002-07-01,4.0000000000000000
2002-10-01,4.0000000000000000
2003-01-01,3.8333333333333333
2003-04-01,3.7500000000000000
2003-07-01,3.5000000000000000
2003-10-01,3.6666666666666667
2004-01-01,3.9166666666666667
2004-04-01,4.2500000000000000
2004-07-01,4.6666666666666667
2004-10-01,4.7500000000000000
2005-01-01,4.7500000000000000
2005-04-01,4.7500000000000000
2005-07-01,4.5833333333333333
2005-10-01,4.5000000000000000
2006-01-01,4.5000000000000000
2006-04-01,4.5000000000000000
2006-07-01,4.6666666666666667
2006-10-01,4.9166666666666667
2007-01-01,5.2500000000000000
2007-04-01,5.4166666666666667
2007-07-01,5.7500000000000000
2007-10-01,5.6666666666666667
2008-01-01,5.3333333333333333
2008-04-01,5.0000000000000000
2008-07-01,5.0000000000000000
2008-10-01,3.1666666666666667
2009-01-01,1.00000000000000000000
2009-04-01,0.50000000000000000000
2009-07-01,0.50000000000000000000
2009-10-01,0.50000000000000000000
2010-01-01,0.50000000000000000000
2010-04-01,0.50000000000000000000
2010-07-01,0.50000000000000000000
2010-10-01,0.50000000000000000000
2011-01-01,0.50000000000000000000
2011-04-01,0.50000000000000000000
2011-07-01,0.50000000000000000000
2011-10-01,0.50000000000000000000
2012-01-01,0.50000000000000000000
2012-04-01,0.50000000000000000000
2012-07-01,0.50000000000000000000
2012-10-01,0.50000000000000000000
2013-01-01,0.50000000000000000000
